rating,image,name
4.4,//dimg13.c-ctrip.com/images/fd/hotel/g2/M05/37/76/Cghzf1UbpaqAdHU9ABM56FPMe1E564_R_130_130.jpg,Amba Taipei Zhongshan
4.3,//dimg12.c-ctrip.com/images/hotel/346000/345620/7b1e29b80c5d434db958d89fed4bff2c_R_130_130.jpg,Ximen Citizen Hotel
3.9,//dimg13.c-ctrip.com/images/200b060000001rawf95BD_R_130_130.jpg,HOT SPRING RESORT
0.0,//dimg13.c-ctrip.com/images/200m0e00000076re94208_R_130_130.jpg,Chez nous
4.3,//dimg10.c-ctrip.com/images/200n070000002kaqwE6E5_R_130_130.jpg,台北一馆
4.5,//dimg12.c-ctrip.com/images/fd/hotel/g5/M05/B1/D7/CggYsFbFWBOAHILyACU9tM5NrXY324_R_130_130.jpg,K HOTEL DUNNAN
4.8,//dimg13.c-ctrip.com/images/200s080000003iyxs59B0_R_130_130.jpg,Beimen WOW Poshtel
4.2,//dimg10.c-ctrip.com/images/fd/hotel/g5/M09/0A/9C/CggYr1b0G82APwOjAAD8rSQ5_dI159_R_130_130.jpg,NINE PLUS Spa Hot Spring Hotel
4.7,//dimg10.c-ctrip.com/images/fd/hotel/g1/M03/7E/7E/CghzfFWXqTqAeTX4AAlaiVyqunE638_R_130_130.jpg,Cho Hotel
3.7,//dimg11.c-ctrip.com/images/fd/hotel/g4/M0B/BD/9A/CggYHFZ45oGALCXPAAIFqpkjST0688_R_130_130.jpg,101 Good Cho’s
4.4,//dimg11.c-ctrip.com/images/200q0400000006z2n8BD4_R_130_130.jpg,Le Tour sequence Boutique Hostel - the first three Hall Station
4.8,//dimg11.c-ctrip.com/images/200h070000002pgzp6A84_R_130_130.jpg,Bouti City Capsule Inn
4.4,//dimg12.c-ctrip.com/images/hotel/91000/90594/2f7fe37be7ad4ecbafe55a1094d05698_R_130_130.jpg,SATO Castle Hotel
4.5,//dimg11.c-ctrip.com/images/fd/hotel/g3/M0A/49/61/CggYGVaYUmmAPyLfAA6xdBZFSEY505_R_130_130.jpg,Saual Keh Hotel
4.6,//dimg10.c-ctrip.com/images/fd/hotel/g4/M02/03/27/CggYHVXdK0WAWJTaAAEzad9Ge2Y021_R_130_130.jpg,101 Amici hotel Six Star Hostel
4.6,//dimg11.c-ctrip.com/images/hotel/860000/859157/cbdbc72ab0a044ac8e050bc0d6bf7073_R_130_130.jpg,Leofoo Residences
4.0,//dimg13.c-ctrip.com/images/fd/hotel/g2/M02/D2/CE/Cghzf1V32feAHFwTAADWxola2LM806_R_130_130.jpg,Shihlin Ocean Hostel
4.6,//dimg12.c-ctrip.com/images/200m0900000045dkn1263_R_130_130.jpg,Caishe Hotel
,//dimg11.c-ctrip.com/images/200g0f0000007i53e1E30_R_130_130.jpg,G9 STAY
4.5,//dimg10.c-ctrip.com/images/fd/hotel/g6/M0A/CC/6C/CggYs1ceUp2ACnM6AACLL_KV6dE033_R_130_130.jpg,At Boutique Hotel
4.6,//dimg11.c-ctrip.com/images/fd/hotel/g4/M09/18/F5/CggYHVXJwlOAJeeLAAEmLGi2S_s974_R_130_130.jpg,CITIZEN HOTEL
4.7,//dimg11.c-ctrip.com/images/200l0e00000078b8w056C_R_130_130.jpg,Oxygen Hostel
5.0,//dimg12.c-ctrip.com/images/20030e00000076bq44D6D_R_130_130.jpg,Taipei main station Inn
4.7,//dimg11.c-ctrip.com/images/fd/hotel/g6/M08/D8/A4/CggYs1b5zxKAfrkpAANbHteTH_A106_R_130_130.jpg,台北西宁馆
4.4,//dimg11.c-ctrip.com/images/fd/hotel/g6/M08/8F/28/CggYslcwWW2AcKubAAPBbKCWq0A878_R_130_130.jpg,Hotel HD Palace Taipei
